batting_team,bowling_team,city,runs_left,balls_left,wickets,target_runs,cur_run_rate,req_run_rate,result
Chennai Super Kings,Deccan Chargers,Hyderabad,80,66,8,148,7.555555556,7.272727273,1
Rajasthan Royals,Sunrisers Hyderabad,Jaipur,91,70,9,153,7.44,7.8,0
Royal Challengers Bangalore,Mumbai Indians,Bangalore,69,10,2,192,6.709090909,41.4,0
Kolkata Knight Riders,Kings XI Punjab,Kolkata,21,11,4,175,8.47706422,11.45454545,1
Delhi Daredevils,Kolkata Knight Riders,Unknown,95,65,7,167,7.854545455,8.769230769,1
Rajasthan Royals,Deccan Chargers,Jaipur,123,73,9,197,9.446808511,10.10958904,1
Kings XI Punjab,Chennai Super Kings,Chennai,185,110,9,193,4.8,10.09090909,0
Kolkata Knight Riders,Chennai Super Kings,Chennai,42,27,7,154,7.225806452,9.333333333,0
Kolkata Knight Riders,Kings XI Punjab,Chandigarh,8,3,2,158,7.692307692,16.0,0
Chennai Super Kings,Deccan Chargers,Hyderabad,106,88,9,148,7.875,7.227272727,1
Deccan Chargers,Mumbai Indians,Mumbai,113,73,6,173,7.659574468,9.287671233,0
Chennai Super Kings,Rajasthan Royals,Ranchi,44,32,7,149,7.159090909,8.25,1
Deccan Chargers,Mumbai Indians,Mumbai,65,37,4,173,7.807228916,10.54054054,0
Delhi Daredevils,Chennai Super Kings,Abu Dhabi,102,41,4,178,5.772151899,14.92682927,0
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,192,99,9,220,8.0,11.63636364,0
Kolkata Knight Riders,Kings XI Punjab,Kolkata,90,97,9,120,7.826086957,5.567010309,1
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,118,84,9,155,6.166666667,8.428571429,1
Chennai Super Kings,Mumbai Indians,Mumbai,49,23,3,170,7.484536082,12.7826087,1
Rajasthan Royals,Royal Challengers Bangalore,Bangalore,111,102,9,136,8.333333333,6.529411765,1
Kolkata Knight Riders,Chennai Super Kings,Ranchi,61,39,5,149,6.518518519,9.384615385,0
Kolkata Knight Riders,Mumbai Indians,Mumbai,114,70,8,172,6.96,9.771428571,0
Sunrisers Hyderabad,Chennai Super Kings,Hyderabad,126,113,10,140,12.0,6.690265487,1
Rajasthan Royals,Chennai Super Kings,Jaipur,64,49,6,142,6.591549296,7.836734694,1
Kings XI Punjab,Mumbai Indians,Mohali,65,38,8,188,9.0,10.26315789,1
Chennai Super Kings,Kings XI Punjab,Chandigarh,20,24,10,139,7.4375,5.0,1
Mumbai Indians,Kolkata Knight Riders,Kolkata,81,26,5,242,10.27659574,18.69230769,0
Rajasthan Royals,Chennai Super Kings,Jaipur,146,80,8,197,7.65,10.95,0
Kolkata Knight Riders,Chennai Super Kings,Ranchi,59,32,4,149,6.136363636,11.0625,0
Mumbai Indians,Delhi Daredevils,Delhi,17,4,1,187,8.793103448,25.5,0
Royal Challengers Bangalore,Chennai Super Kings,Chennai,79,61,7,149,7.118644068,7.770491803,0
Chennai Super Kings,Kolkata Knight Riders,Kolkata,5,1,5,159,7.764705882,30.0,1
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,104,75,9,143,5.2,8.32,1
Kolkata Knight Riders,Kings XI Punjab,Chandigarh,29,11,4,168,7.651376147,15.81818182,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,178,110,10,195,10.2,9.709090909,0
Delhi Daredevils,Chennai Super Kings,Chennai,67,32,5,169,6.954545455,12.5625,0
Kings XI Punjab,Rajasthan Royals,Durban,163,65,5,212,5.345454545,15.04615385,0
Chennai Super Kings,Royal Challengers Bangalore,Bangalore,101,50,6,172,6.085714286,12.12,0
Mumbai Indians,Sunrisers Hyderabad,Hyderabad,110,79,9,158,7.024390244,8.35443038,1
Rajasthan Royals,Kings XI Punjab,Chandigarh,65,11,4,196,7.211009174,35.45454545,0
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,89,72,9,159,8.75,7.416666667,1
Kolkata Knight Riders,Rajasthan Royals,Jaipur,112,58,7,197,8.225806452,11.5862069,0
Chennai Super Kings,Delhi Capitals,Visakhapatnam,108,77,10,156,6.697674419,8.415584416,1
Delhi Daredevils,Royal Challengers Bangalore,Bangalore,117,87,9,158,7.454545455,8.068965517,0
Royal Challengers Bangalore,Delhi Daredevils,Bangalore,147,90,10,184,7.4,9.8,0
Delhi Daredevils,Kings XI Punjab,Dharamsala,135,116,10,142,10.5,6.982758621,1
Kolkata Knight Riders,Rajasthan Royals,Kolkata,24,25,6,145,7.642105263,5.76,1
Delhi Daredevils,Rajasthan Royals,Ahmedabad,65,80,8,142,11.55,4.875,1
Delhi Daredevils,Kolkata Knight Riders,Raipur,125,108,10,137,6.0,6.944444444,1
Chennai Super Kings,Royal Challengers Bangalore,Chennai,27,25,8,162,8.526315789,6.48,1
Royal Challengers Bangalore,Chennai Super Kings,Johannesburg,134,113,10,147,11.14285714,7.115044248,1
Mumbai Indians,Royal Challengers Bangalore,Bengaluru,33,25,5,174,8.905263158,7.92,0
Royal Challengers Bangalore,Mumbai Indians,Johannesburg,128,103,10,150,7.764705882,7.45631068,1
Chennai Super Kings,Kolkata Knight Riders,Kolkata,46,20,5,171,7.5,13.8,1
Kings XI Punjab,Mumbai Indians,Chandigarh,104,65,8,173,7.527272727,9.6,0
Mumbai Indians,Chennai Super Kings,Chennai,66,88,10,113,8.8125,4.5,1
Kings XI Punjab,Rajasthan Royals,Jaipur,143,98,8,162,5.181818182,8.755102041,0
Delhi Daredevils,Sunrisers Hyderabad,Unknown,21,7,6,185,8.707964602,18.0,0
Chennai Super Kings,Kolkata Knight Riders,Chennai,82,37,7,208,9.108433735,13.2972973,1
Royal Challengers Bangalore,Chennai Super Kings,Bangalore,155,103,10,182,9.529411765,9.029126214,0
Rajasthan Royals,Deccan Chargers,Jaipur,74,35,7,197,8.682352941,12.68571429,1
Kolkata Knight Riders,Mumbai Indians,Cuttack,50,40,9,142,6.9,7.5,1
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,126,74,7,186,7.826086957,10.21621622,0
Mumbai Indians,Chennai Super Kings,Chennai,90,84,8,137,7.833333333,6.428571429,1
Kings XI Punjab,Kolkata Knight Riders,Kolkata,134,54,7,224,8.181818182,14.88888889,0
Chennai Super Kings,Royal Challengers Bangalore,Bangalore,56,42,8,155,7.615384615,8.0,1
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,17,35,9,165,10.44705882,2.914285714,1
Chennai Super Kings,Delhi Capitals,Visakhapatnam,155,114,10,156,1.0,8.157894737,1
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,132,41,3,206,5.620253165,19.31707317,0
Rajasthan Royals,Mumbai Indians,Mumbai,153,107,9,178,11.53846154,8.579439252,1
Royal Challengers Bangalore,Kings XI Punjab,Chandigarh,53,88,8,107,10.125,3.613636364,0
Rajasthan Royals,Chennai Super Kings,Centurion,47,9,2,165,6.378378378,31.33333333,0
Delhi Daredevils,Deccan Chargers,Delhi,151,105,9,158,2.8,8.628571429,1
Royal Challengers Bangalore,Mumbai Indians,Mumbai,135,88,9,188,9.9375,9.204545455,0
Rajasthan Royals,Sunrisers Hyderabad,Jaipur,164,110,10,170,3.6,8.945454545,1
Kings XI Punjab,Rajasthan Royals,Durban,165,68,5,212,5.423076923,14.55882353,0
Delhi Daredevils,Kolkata Knight Riders,Durban,93,72,9,155,7.75,7.75,1
Rajasthan Royals,Delhi Daredevils,Delhi,107,80,9,153,6.9,8.025,1
Delhi Daredevils,Mumbai Indians,Mumbai,62,42,6,163,7.769230769,8.857142857,0
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,108,52,5,166,5.117647059,12.46153846,0
Mumbai Indians,Chennai Super Kings,Mumbai,166,107,10,174,3.692307692,9.308411215,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,87,76,8,131,6.0,6.868421053,1
Royal Challengers Bangalore,Chennai Super Kings,Chennai,118,48,4,206,7.333333333,14.75,0
Royal Challengers Bangalore,Chennai Super Kings,Chennai,101,51,6,184,7.217391304,11.88235294,0
Delhi Capitals,Rajasthan Royals,Jaipur,155,94,10,197,9.692307692,9.893617021,1
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,167,102,9,206,13.0,9.823529412,1
Kolkata Knight Riders,Rajasthan Royals,Mumbai,64,32,5,200,9.272727273,12.0,0
Chennai Super Kings,Royal Challengers Bangalore,Bengaluru,141,91,7,166,5.172413793,9.296703297,0
Kings XI Punjab,Mumbai Indians,Visakhapatnam,57,52,9,125,6.0,6.576923077,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Bengaluru,214,111,10,223,6.0,11.56756757,0
Mumbai Indians,Rajasthan Royals,Mumbai,58,73,9,104,5.872340426,4.767123288,1
Sunrisers Hyderabad,Chennai Super Kings,Hyderabad,94,95,10,140,11.04,5.936842105,1
Chennai Super Kings,Rajasthan Royals,Jaipur,113,64,6,159,4.928571429,10.59375,1
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,111,79,9,161,7.317073171,8.430379747,1
Mumbai Indians,Deccan Chargers,Mumbai,55,28,6,136,5.282608696,11.78571429,0
Chennai Super Kings,Rajasthan Royals,Jaipur,90,47,6,159,5.671232877,11.4893617,1
Kings XI Punjab,Chennai Super Kings,Dharamsala,36,41,7,121,6.455696203,5.268292683,1
Deccan Chargers,Chennai Super Kings,Chennai,125,99,10,166,11.71428571,7.575757576,0
Kings XI Punjab,Royal Challengers Bangalore,Bengaluru,203,114,10,214,11.0,10.68421053,0
Rajasthan Royals,Mumbai Indians,Ahmedabad,87,33,3,179,6.344827586,15.81818182,0
Kolkata Knight Riders,Kings XI Punjab,Bangalore,161,97,9,200,10.17391304,9.958762887,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,114,77,8,162,6.697674419,8.883116883,1
Mumbai Indians,Deccan Chargers,Durban,109,74,9,169,7.826086957,8.837837838,0
Kolkata Knight Riders,Kings XI Punjab,Kolkata,122,81,8,175,8.153846154,9.037037037,1
Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,106,60,7,193,8.7,10.6,0
Delhi Daredevils,Sunrisers Hyderabad,Unknown,86,48,9,185,8.25,10.75,0
Rajasthan Royals,Mumbai Indians,Mumbai,124,62,8,198,7.655172414,12.0,0
Chennai Super Kings,Delhi Daredevils,Delhi,163,102,9,186,7.666666667,9.588235294,1
Rajasthan Royals,Chennai Super Kings,Centurion,51,16,5,165,6.576923077,19.125,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,179,58,4,234,5.322580645,18.51724138,0
Rajasthan Royals,Royal Challengers Bangalore,Bangalore,176,106,10,191,6.428571429,9.962264151,1
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,21,24,8,155,8.375,5.25,1
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,88,37,5,186,7.084337349,14.27027027,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,125,96,10,161,9.0,7.8125,1
Chennai Super Kings,Mumbai Indians,Hyderabad,13,9,5,153,7.567567568,8.666666667,0
Royal Challengers Bangalore,Mumbai Indians,Mumbai,78,8,3,231,8.196428571,58.5,0
Kolkata Knight Riders,Chennai Super Kings,Kolkata,65,20,1,165,6.0,19.5,0
Kings XI Punjab,Chennai Super Kings,Chandigarh,85,58,8,189,10.06451613,8.793103448,1
Chennai Super Kings,Sunrisers Hyderabad,Chennai,49,38,8,180,9.585365854,7.736842105,1
Kings XI Punjab,Rajasthan Royals,Indore,160,114,10,161,1.0,8.421052632,1
Delhi Daredevils,Chennai Super Kings,Chennai,52,48,6,113,5.083333333,6.5,1
Sunrisers Hyderabad,Mumbai Indians,Mumbai,76,47,7,171,7.808219178,9.70212766,0
Mumbai Indians,Royal Challengers Bangalore,Mumbai,101,30,7,236,9.0,20.2,0
Delhi Daredevils,Chennai Super Kings,Chennai,76,55,7,151,6.923076923,8.290909091,0
Chennai Super Kings,Delhi Daredevils,Durban,189,118,10,190,3.0,9.610169492,0
Kolkata Knight Riders,Kings XI Punjab,Kolkata,18,15,4,135,6.685714286,7.2,0
Mumbai Indians,Chennai Super Kings,Chennai,76,61,10,159,8.440677966,7.475409836,1
Sunrisers Hyderabad,Kings XI Punjab,Chandigarh,49,29,8,180,8.637362637,10.13793103,1
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,63,19,6,196,7.900990099,19.89473684,0
Delhi Capitals,Kolkata Knight Riders,Kolkata,183,117,10,184,2.0,9.384615385,1
Kolkata Knight Riders,Kings XI Punjab,Kolkata,170,119,10,171,6.0,8.571428571,1
Rajasthan Royals,Kings XI Punjab,Jaipur,133,81,10,201,10.46153846,9.851851852,0
Deccan Chargers,Chennai Super Kings,Mumbai,143,118,10,143,0.0,7.271186441,0
Royal Challengers Bangalore,Chennai Super Kings,Durban,67,57,7,130,6.0,7.052631579,1
Rajasthan Royals,Delhi Daredevils,Delhi,56,43,8,153,7.558441558,7.813953488,1
Kolkata Knight Riders,Rajasthan Royals,Jaipur,88,47,5,165,6.328767123,11.23404255,0
Kolkata Knight Riders,Chennai Super Kings,Kolkata,76,47,6,185,8.95890411,9.70212766,1
Chennai Super Kings,Delhi Daredevils,Delhi,44,28,6,188,9.391304348,9.428571429,1
Delhi Daredevils,Royal Challengers Bangalore,Delhi,198,108,9,216,9.0,11.0,0
Kolkata Knight Riders,Chennai Super Kings,Kolkata,112,71,9,166,6.612244898,9.464788732,1
Kolkata Knight Riders,Mumbai Indians,Mumbai,72,48,8,188,9.666666667,9.0,0
Chennai Super Kings,Kolkata Knight Riders,Kolkata,34,21,7,159,7.575757576,9.714285714,1
Kings XI Punjab,Deccan Chargers,Chandigarh,113,59,7,191,7.672131148,11.49152542,1
Kings XI Punjab,Delhi Daredevils,Delhi,61,77,7,121,8.372093023,4.753246753,1
Chennai Super Kings,Kings XI Punjab,Chandigarh,68,71,8,131,7.714285714,5.746478873,1
Sunrisers Hyderabad,Kings XI Punjab,Sharjah,112,51,5,194,7.130434783,13.17647059,0
Mumbai Indians,Sunrisers Hyderabad,Mumbai,112,93,8,131,4.222222222,7.225806452,0
Chennai Super Kings,Royal Challengers Bangalore,Chennai,66,108,10,75,4.5,3.666666667,1
Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,173,100,9,191,5.4,10.38,1
Delhi Daredevils,Deccan Chargers,Delhi,100,77,6,146,6.418604651,7.792207792,0
Sunrisers Hyderabad,Chennai Super Kings,Ranchi,114,76,10,186,9.818181818,9.0,1
Sunrisers Hyderabad,Kings XI Punjab,Mohali,130,66,7,202,8.0,11.81818182,0
Mumbai Indians,Kings XI Punjab,Centurion,115,114,10,120,5.0,6.052631579,1
Kolkata Knight Riders,Delhi Daredevils,Delhi,159,97,9,187,7.304347826,9.835051546,0
Chennai Super Kings,Royal Challengers Bangalore,Chennai,113,67,8,166,6.0,10.11940299,1
Sunrisers Hyderabad,Mumbai Indians,Mumbai,103,80,8,158,8.25,7.725,0
Kolkata Knight Riders,Kings XI Punjab,Chandigarh,67,76,9,125,7.909090909,5.289473684,1
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,123,59,9,196,7.180327869,12.50847458,0
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,100,40,7,196,7.2,15.0,0
Delhi Daredevils,Kolkata Knight Riders,Kolkata,29,14,1,134,5.943396226,12.42857143,0
Mumbai Indians,Rajasthan Royals,Mumbai,86,66,7,190,11.55555556,7.818181818,1
Mumbai Indians,Delhi Daredevils,Delhi,96,48,7,208,9.333333333,12.0,0
Kolkata Knight Riders,Rajasthan Royals,Jaipur,122,71,6,165,5.265306122,10.30985915,0
Mumbai Indians,Kings XI Punjab,Mumbai,164,86,10,231,11.82352941,11.44186047,0
Mumbai Indians,Deccan Chargers,Mumbai,117,96,9,136,4.75,7.3125,0
Chennai Super Kings,Deccan Chargers,Chennai,153,82,6,191,6.0,11.19512195,0
Royal Challengers Bangalore,Delhi Daredevils,Delhi,127,100,9,161,10.2,7.62,1
Kolkata Knight Riders,Kings XI Punjab,Kolkata,101,102,9,120,6.333333333,5.941176471,1
Mumbai Indians,Kings XI Punjab,Mumbai,163,100,9,178,4.5,9.78,0
